sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.348311, -0.937374, 0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.350187, -0.936679, -0.001000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.352059, -0.935977, -0.001000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.352059, -0.935977, -0.001000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.352059, -0.935977, -0.001000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.352059, -0.935977, -0.001000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.353931, -0.935271, -0.001000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.353931, -0.935271, -0.001000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.353931, -0.935271, -0.001000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.353931, -0.935271, -0.001000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.348311, -0.937374, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.348311, -0.937374, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.348311, -0.937374, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.348311, -0.937374, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.350185, -0.936676, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.350185, -0.936676, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.350185, -0.936676, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.350185, -0.936676, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.352058, -0.935973, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.352058, -0.935973, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.352058, -0.935973, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.352058, -0.935973, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.353929, -0.935267, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.353929, -0.935267, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.353929, -0.935267, -0.003000}) => {1.000000, 1.000000, 1.000000}
sample(origin:{17.000000, 16.000000, 8.000000}, direction:{-0.353929, -0.935267, -0.003000}) => {1.000000, 1.000000, 1.000000}
P6 4 4 255 
