sample(origin:{ 17, 16, 8 }, direction:{ -0.338894, -0.940735, 0.0129978 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342662, -0.939394, 0.0109989 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342662, -0.939394, 0.0109989 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342662, -0.939394, 0.0109989 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.34454, -0.938707, 0.0109991 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.34454, -0.938707, 0.0109991 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.34454, -0.938707, 0.0109991 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.34454, -0.938707, 0.0109991 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338909, -0.940776, 0.00899888 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338909, -0.940776, 0.00899888 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338909, -0.940776, 0.00899888 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338909, -0.940776, 0.00899888 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340789, -0.940097, 0.00899909 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340789, -0.940097, 0.00899909 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340789, -0.940097, 0.00899909 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340789, -0.940097, 0.00899909 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342669, -0.939413, 0.00899927 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342669, -0.939413, 0.00899927 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342669, -0.939413, 0.00899927 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342669, -0.939413, 0.00899927 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.344547, -0.938726, 0.00899941 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.344547, -0.938726, 0.00899941 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.344547, -0.938726, 0.00899941 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.344547, -0.938726, 0.00899941 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338914, -0.940791, 0.00699924 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338914, -0.940791, 0.00699924 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338914, -0.940791, 0.00699924 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.338914, -0.940791, 0.00699924 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340795, -0.940112, 0.00699941 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340795, -0.940112, 0.00699941 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340795, -0.940112, 0.00699941 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.340795, -0.940112, 0.00699941 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342674, -0.939428, 0.00699955 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342674, -0.939428, 0.00699955 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342674, -0.939428, 0.00699955 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.342674, -0.939428, 0.00699955 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.344552, -0.938741, 0.00699966 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.344552, -0.938741, 0.00699966 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.344552, -0.938741, 0.00699966 }) => { 1, 1, 1 }
sample(origin:{ 17, 16, 8 }, direction:{ -0.344552, -0.938741, 0.00699966 }) => { 1, 1, 1 }
